,logit_frac_unknown,frac_T_logratio,frac_B_logratio,frac_myeloid_logratio,frac_NK_logratio
SCPCS000126,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000127,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000128,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-2.4088477642250514
SCPCS000212,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.4772409053776882
SCPCS000213,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.09122713599953221
SCPCS000214,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.1572796713335933
SCPCS000215,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.15883636619390795
SCPCS000301,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.518688946939128
SCPCS000302,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,-0.14389554372440894
SCPCS000303,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.37764731409394303
SCPCS000304,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.03686380187096619
SCPCS000305,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2791820366012593
SCPCS000306,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5976802914681127
SCPCS000307,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.3493827272895565
SCPCS000309,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.8892362926890514
SCPCS000311,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5794760281727158
SCPCS000312,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.2660198945052612
SCPCS000313,-0.4988590584624003,-0.4768675662234852,-0.4106996121985848,-0.3828389129871501,0.5500261414143115
